filename,volume,surface,sphericity,flatness,elongation,cc_number,cc_vmean,cc_vtot,RHF
20220113_cot_48h48hL_B11_262.tif,84.66450000000002,15.519842773437503,0.7569625105240704,0.46373559163451744,0.860980221884415,7,0.2171428571428572,1.5200000000000005,0.0025647450483125413
20220113_cot_48h48hL_B8_178.tif,63.46733333333335,13.025674804687503,0.7442646506204112,1.2804604331655844,1.5376797887304412,7,0.2777142857142858,1.9440000000000004,0.004375704336839199
20220113_cot_48h48hL_B9_824.tif,91.37650000000002,16.482322265625005,0.7499495828586737,0.5858646551360734,0.8400140386116006,5,0.06480000000000001,0.32400000000000007,0.0007091538852987365
20220323_48h_24h_HIRA_8T_cotB3_250.tif,53.03566666666668,11.838251953125003,0.7265272350097329,0.6397276014784994,0.8438111664582986,10,0.10200000000000002,1.0200000000000002,0.0019232340500417958
20220324_48h_24h_8T_Cot_A4_1305.tif,71.87166666666668,14.253018554687504,0.73896820013527,0.7430430316820535,2.074589713865089,3,0.1586666666666667,0.4760000000000001,0.0022076386151241795
220220324_48h_24h_col_cot_A2_222.tif,48.89475000000001,11.444454101562503,0.71188066027743,0.8149592916758736,1.9806397410818313,8,0.09000000000000002,0.7200000000000002,0.0018406884174681332
820220324_48h_24h_col_cot_A8_1191.tif,90.6331666666667,16.885853515625005,0.7280522388899113,0.587626161090886,0.7204929907974694,9,0.1097777777777778,0.9880000000000002,0.0012112318460803836
Z0220405_48h_24h_+HIRA_cot_A_4_118.tif,40.59425000000001,9.845499023437503,0.7309697491805837,0.5426634819313344,0.9553746674927129,2,0.18000000000000005,0.3600000000000001,0.004434125522703339
Z0220405_48h_24h_8T_HIRA_cot_A_8_1151.tif,58.72533333333335,13.274150390625003,0.6934860293174632,1.1515191820482353,2.1900219597800077,7,0.06971428571428573,0.4880000000000001,0.0011871245637479402
Z0220405_48h_24h_Col_cot_B_2_2342.tif,54.14983333333335,11.733302734375004,0.7432562953886187,0.7523017064830605,2.1028579315430984,6,0.07266666666666668,0.4360000000000001,0.0013419555000169284
Z0220413_48H_24H_HIRA_cotB_4_607.tif,47.991666666666674,10.537498046875003,0.7636021998813564,0.5423235400834185,0.8566141291057872,3,0.22400000000000006,0.6720000000000002,0.004667476992533426
Z0220413_48H_24H_HIRA_cotB_8_353.tif,32.341666666666676,8.153791503906252,0.758535862931794,0.630667394741746,0.777841772308447,5,0.06480000000000001,0.32400000000000007,0.002003607317701623
Z022_48h_24h_8T_cotB_1_245.tif,36.53625000000001,8.898580078125002,0.7539155891417978,0.6007032137113005,0.8035655587964415,3,0.14400000000000004,0.4320000000000001,0.003941291183413733
Z022_48h_24h_8T_cotB_4_01.tif,76.50158333333334,15.047060546875004,0.7297196990598985,0.5582572899845131,0.848637205468611,8,0.12350000000000003,0.9880000000000002,0.0016143456725841187
